A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U
9116232533,https://smartstore.naver.com/magussa5/products/9116232533,https://www.jcrew.com/kr/pdp/womens/categories/accessories/jewelry/metals/freshwater-pearl-beaded-necklace/BL546?display=standard&fit=Classic&color_name=pearl&colorProductCode=BL546,https://m.blog.naver.com/how20909/221348125481,제이.크루우,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,담수진주 비즈 목걸이,nan
9116228081,https://smartstore.naver.com/magussa5/products/9116228081,https://www.jcrew.com/kr/pdp/womens/categories/accessories/jewelry/metals/pearl-and-metallic-ball-cluster-earrings/BS705?display=standard&fit=Classic&color_name=pearl&colorProductCode=BS705,https://m.blog.naver.com/how20909/221348125481,제이.크루우,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,진주 메탈릭 볼 클러스터 이어링,nan
9116206557,https://smartstore.naver.com/magussa5/products/9116206557,https://www.jcrew.com/kr/pdp/womens/categories/accessories/jewelry/metals/hinge-cuff-bracelet/BQ678?display=standard&fit=Classic&color_name=burnished-gold&colorProductCode=BQ678,https://m.blog.naver.com/how20909/221348125481,제이.크루우,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,힌지 커프 팔찌,nan
9116193018,https://smartstore.naver.com/magussa5/products/9116193018,https://www.jcrew.com/kr/pdp/womens/categories/accessories/jewelry/pearls/freshwater-pearl-necklace/BG709?display=standard&fit=Classic&color_name=pearl&colorProductCode=BG709,https://m.blog.naver.com/how20909/221348125481,제이.크루우,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,담수진주 목걸이,nan
9116181087,https://smartstore.naver.com/magussa5/products/9116181087,https://www.jcrew.com/kr/pdp/womens/categories/accessories/jewelry/metallic-chainlink-necklace/BS719?display=standard&fit=Classic&color_name=burnished-gold&colorProductCode=BS719,https://m.blog.naver.com/how20909/221348125481,제이.크루우,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,메탈릭 체인링크 네크리스,nan
9116150661,https://smartstore.naver.com/magussa5/products/9116150661,https://www.jcrew.com/kr/pdp/womens/categories/accessories/jewelry/crystal/loop-collar-necklace-with-crystals/BS700?display=standard&fit=Classic&color_name=crystal&colorProductCode=BS700,https://m.blog.naver.com/how20909/221348125481,제이.크루우,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,크리스털이 장식된 루프 칼라 목걸이,nan
9116124521,https://smartstore.naver.com/magussa5/products/9116124521,https://www.jcrew.com/kr/pdp/womens/categories/accessories/jewelry/metals/layered-mixed-metal-cuff-bracelet/BS712?display=standard&fit=Classic&color_name=mixed-metal&colorProductCode=BS712,https://m.blog.naver.com/how20909/221348125481,제이.크루우,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,레이어드 믹스 메탈 커프 브레이슬릿,nan
9114182996,https://smartstore.naver.com/magussa5/products/9114182996,https://www.gap.com/browse/product.do?pid=792236002&cid=5745&pcid=5745&vid=1&cpos=2&cexp=2859&kcid=CategoryIDs%3D5745&cvar=25416&ctype=Listing&cpid=res23082604900824712077539&ccam=24376#pdp-page-content,https://m.blog.naver.com/how20909/221321308879,GAP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CashSoft 퍼프 슬리브 스웨터,nan
9113421585,https://smartstore.naver.com/magussa5/products/9113421585,https://www.ugg.com/women-sandals/goldenstar-clog/1138252.html,https://m.blog.naver.com/how20909/221382296304,UGG,"CHESTNUT,BLACK,DRIFTWOOD,RAINSTORM","CHESTNUT(US_5(220),US_6(230),US_8(250),US_12(290)),BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260)),DRIFTWOOD(US_12(290)),RAINSTORM(US_5(220),US_5.5(225))",2024/03/16/15:05:15,2024/03/17/15:25:10,변경 완료(가격만 변동),"CHESTNUT,BLACK","CHESTNUT(US_5.5(225),US_6(230),US_9(260),US_10(270),US_11(280),US_12(290)),BLACK(US_12(290))",nan,nan,nan,nan,nan,nan,nan,골든스타 클로그,130.0
9113399546,https://smartstore.naver.com/magussa5/products/9113399546,https://www.ugg.com/women-slippers/ansley/1106878.html,https://m.blog.naver.com/how20909/221382296304,UGG,"CHESTNUT,BLACK,LIGHT GREY","CHESTNUT(US_5(220),US_6(230),US_7(240),US_9(260),US_10(270),US_11(280),US_12(290)),BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_11(280),US_12(290)),LIGHT GREY(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290))",2024/03/17/15:27:43,2024/03/17/15:27:43,변경 완료(이전과 동일하지 않아)(가격과 사이즈),"CHESTNUT,BLACK,LIGHT GREY","CHESTNUT(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290)),BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_11(280),US_12(290)),LIGHT GREY(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290))",nan,nan,nan,nan,nan,nan,nan,앤슬리,100.0
9113380861,https://smartstore.naver.com/magussa5/products/9113380861,https://www.ugg.com/women-boots-classic-boots/classic-sweater-letter-tall/1144044.html,https://m.blog.naver.com/how20909/221382296304,UGG,BLACK,"BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280))",2024/02/20/21:30:37,2024/03/17/15:29:03,변경 완료(가격만 변동),BLACK,"BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290))",nan,nan,nan,nan,nan,nan,nan,클래식 스웨터 레터 톨,195.99
9113337290,https://smartstore.naver.com/magussa5/products/9113337290,https://www.ugg.com/women-boots-classic-boots/bailey-bow-tall-ii-boot/1016434.html,https://m.blog.naver.com/how20909/221382296304,UGG,"BLACK,CHESTNUT","BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270)),CHESTNUT(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280))",2024/02/26/08:09:32,2024/03/17/15:30:51,변경 완료(가격만 변동),"BLACK,CHESTNUT","BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280)),CHESTNUT(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280))",nan,nan,nan,nan,nan,nan,nan,베일리 보우 톨 II 부츠,240.0
9113325064,https://smartstore.naver.com/magussa5/products/9113325064,https://www.ugg.com/women-boots-classic-boots/mini-bailey-bow-ii-boot/1016501.html,https://m.blog.naver.com/how20909/221382296304,UGG,"GREY,CHESTNUT,BLACK","GREY(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280)),CHESTNUT(US_5(220),US_6(230),US_9(260),US_10(270),US_11(280)),BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280))",2024/02/28/12:01:41,2024/03/17/15:33:05,변경 완료(가격만 변동),"GREY,CHESTNUT,BLACK","GREY(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280)),CHESTNUT(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280)),BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280))",nan,nan,nan,nan,nan,nan,nan,미니 베일리 보우 II 부츠,170.0
9113308820,https://smartstore.naver.com/magussa5/products/9113308820,https://www.ugg.com/women-boots-classic-boots/bailey-bow-ii/1016225.html,https://m.blog.naver.com/how20909/221382296304,UGG,"BLACK,CHESTNUT,GREY","BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290)),CHESTNUT(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290)),GREY(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290))",2024/02/28/03:07:58,2024/03/17/15:35:18,변경 완료(가격만 변동),"BLACK,CHESTNUT,GREY","BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290)),CHESTNUT(US_5(220),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290)),GREY(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290))",nan,nan,nan,nan,nan,nan,nan,베일리 보우 II 부츠,200.0
9111959914,https://smartstore.naver.com/magussa5/products/9111959,https://www.ugg.com/women-slippers/dakota/1107949.html,https://m.blog.naver.com/how20909/221382296304,UGG,"CHESTNUT,BLACK,PEWTER","CHESTNUT(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290)),BLACK(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290)),PEWTER(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290))",2024/02/03/22:25:13,2024/03/17/15:37:32,변경 완료(가격만 변동),nan,nan,nan,nan,nan,nan,nan,nan,nan,다코타,110.0
9111851010,https://smartstore.naver.com/magussa5/products/9111851010,https://www.ugg.com/master-sale/gwendolynn-bralette/1139070S.html,https://m.blog.naver.com/how20909/221382296304,UGG,ROSEMARY,"ROSEMARY(XXS,XS)",2024/03/16/15:18:37,2024/03/16/15:18:37,품절 상태로 변경 완료,nan,nan,nan,nan,nan,nan,nan,nan,nan,그웬돌린 브라렛,21.99
9078924952,https://smartstore.naver.com/magussa5/products/9078924952,https://www.ugg.com/women-slippers/tasman-slipper/5955.html,https://m.blog.naver.com/how20909/221382296304,UGG,"CHESTNUT,SAND/DARK CHERRY","CHESTNUT(US_5(220),US_11(280),US_12(290)),SAND/DARK CHERRY(US_5(220),US_6(230),US_9(260),US_10(270),US_11(280),US_12(290))",2024/03/17/15:41:23,2024/03/17/15:41:23,변경 완료(이전과 동일하지 않아)(가격과 사이즈),"SAND/DARK CHERRY,RAINSTORM","SAND/DARK CHERRY(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290)),RAINSTORM(US_6(230))",nan,nan,nan,nan,nan,nan,nan,태즈먼 슬리퍼,110.0
9078848100,https://smartstore.naver.com/magussa5/products/9078848100,https://www.ugg.com/women-cold-weather-boots/classic-brellah-mini/1144059.html,https://m.blog.naver.com/how20909/221382296304,UGG,"SUPER CORAL,MUSTARD SEED / JASMINE,BLACK,REGAL BLUE,BURNT OLIVE","SUPER CORAL(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290)),MUSTARD SEED / JASMINE(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270)),BLACK(US_5(220),US_6(230),US_8(250),US_9(260),US_11(280),US_12(290)),REGAL BLUE(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260)),BURNT OLIVE(US_5(220),US_6(230),US_8(250),US_9(260),US_10(270))",2024/03/17/15:44:49,2024/03/17/15:44:49,변경 완료(이전과 동일하지 않아)(가격과 사이즈),"SUPER CORAL,MUSTARD SEED / JASMINE,BLACK,REGAL BLUE,BURNT OLIVE","SUPER CORAL(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290)),MUSTARD SEED / JASMINE(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270)),BLACK(US_5(220),US_6(230),US_8(250),US_9(260),US_10(270),US_11(280),US_12(290)),REGAL BLUE(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260)),BURNT OLIVE(US_5(220),US_6(230),US_8(250),US_9(260),US_10(270))",nan,nan,nan,nan,nan,nan,nan,클래식 브렐라 미니,118.99
9233755898,https://smartstore.naver.com/magussa5/products/9233755898,https://www.gucci.com/uk/en_gb/pr/women/handbags/top-handles-for-women/gucci-diana-small-shoulder-bag-p-735153DJ24T2548,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,구찌 다이아나 스몰 숄더백,nan
9234562629,https://smartstore.naver.com/magussa5/products/9234562629,https://www.gucci.com/uk/en_gb/pr/women/handbags/crossbody-bags-for-women/gg-matelasse-small-bag-p-702234UM8HG1046,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GG 퀼팅 스몰 백,nan
9237201333,https://smartstore.naver.com/magussa5/products/9237201333,https://www.gucci.com/uk/en_gb/pr/women/handbags/mini-bags-for-women/dionysus-mini-top-handle-bag-p-752029UULBN9683,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,디오니서스 미니 탑 핸들 백,nan
9237237919,https://smartstore.naver.com/magussa5/products/9237237919,https://www.gucci.com/uk/en_gb/pr/women/handbags/shoulder-bags-for-women/interlocking-g-mini-heart-shoulder-bag-p-751628AACCL1000,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,인터로킹 G 미니 하트 숄더백,nan
9237289376,https://smartstore.naver.com/magussa5/products/9237289376,https://www.gucci.com/uk/en_gb/pr/women/handbags/mini-bags-for-women/ophidia-mini-gg-shoulder-bag-p-739701FACC55748,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,오피디아 미니 GG 숄더백,nan
9239688480,https://smartstore.naver.com/magussa5/products/9239688480,https://www.gucci.com/uk/en_gb/pr/men/bags-for-men/totes-bags-for-men/gg-tender-medium-tote-bag-p-763287FACHL8844,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GG 텐더 미디엄 토트 백,nan
9239727128,https://smartstore.naver.com/magussa5/products/9239727128,https://www.gucci.com/uk/en_gb/pr/women/handbags/backpacks-beltbags-for-women/ophidia-gg-small-belt-bag-p-752597FACFW8920,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,오피디아 GG 스몰 벨트 백,nan
9239754536,https://smartstore.naver.com/magussa5/products/9239754536,https://www.gucci.com/uk/en_gb/pr/women/handbags/tote-bags-for-women/ophidia-medium-tote-bag-p-739730DJ20G1000,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,오피디아 미디엄 토트 백,nan
9239774770,https://smartstore.naver.com/magussa5/products/9239774770,https://www.gucci.com/uk/en_gb/pr/women/handbags/crossbody-bags-for-women/ophidia-gg-mini-round-shoulder-bag-p-55061896I3B8745,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,오피디아 미니 GG 라운드 숄더백,nan
9239986645,https://smartstore.naver.com/magussa5/products/9239986645,https://www.gucci.com/uk/en_gb/pr/women/handbags/shoulder-bags-for-women/gucci-blondie-top-handle-bag-p-7444341IV0G3509,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,구찌 블론디 탑 핸들 백,nan
9240032676,https://smartstore.naver.com/magussa5/products/9240032676,https://www.gucci.com/uk/en_gb/pr/women/handbags/mini-bags-for-women/gg-marmont-mini-shoulder-bag-p-739682AABZC9022,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GG 마몬트 미니 숄더백,nan
9240591963,https://smartstore.naver.com/magussa5/products/9240591963,https://www.gucci.com/uk/en_gb/pr/women/handbags/backpacks-beltbags-for-women/ophidia-gg-belt-bag-p-69976596IWG8745,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,웹 디테일의 오피디아 벨트백,nan
9241067874,https://smartstore.naver.com/magussa5/products/9241067874,https://www.gucci.com/uk/en_gb/pr/women/handbags/shoulder-bags-for-women/half-moon-bags-for-women/jackie-1961-small-natural-grain-bag-p-636709AZB0G2535,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,재키 1961 스몰 내추럴 그레인 백,nan
9242407419,https://smartstore.naver.com/magussa5/products/9242407419,https://www.gucci.com/uk/en_gb/pr/women/handbags/mini-bags-for-women/gucci-deco-mini-shoulder-bag-p-741457AAB1Q6402,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,구찌 데코 미니 숄더백,nan
9242446816,https://smartstore.naver.com/magussa5/products/9242446816,https://www.gucci.com/uk/en_gb/pr/women/handbags/mini-bags-for-women/gg-marmont-super-mini-bag-p-476433AACJT7548,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GG 마몬트 슈퍼 미니백,nan
9242484779,https://smartstore.naver.com/magussa5/products/9242484779,https://www.gucci.com/uk/en_gb/pr/women/handbags/shoulder-bags-for-women/chain-bags-for-women/padlock-mini-shoulder-bag-p-735103KLQJG9785,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,패드락 미니 숄더백,nan
9242494533,https://smartstore.naver.com/magussa5/products/9242494533,https://www.gucci.com/uk/en_gb/pr/women/handbags/shoulder-bags-for-women/padlock-medium-gg-shoulder-bag-p-479197KHNKG8534,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,패드락 미디엄 GG 숄더백,nan
9242508982,https://smartstore.naver.com/magussa5/products/9242508982,https://www.gucci.com/uk/en_gb/pr/women/handbags/crossbody-bags-for-women/gucci-attache-medium-shoulder-bag-p-70282396GRN4091,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,구찌 아타셰 미디엄 숄더백,nan
9243496029,https://smartstore.naver.com/magussa5/products/9243496029,https://www.gucci.com/uk/en_gb/pr/men/bags-for-men/backpacks-for-men/jumbo-gg-small-backpack-p-739503AABZF2845,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,점보 GG 스몰 백팩,nan
9243514971,https://smartstore.naver.com/magussa5/products/9243514971,https://www.gucci.com/uk/en_gb/pr/men/bags-for-men/totes-bags-for-men/jumbo-gg-large-tote-bag-p-726755AABY02801,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,점보 GG 라지 토트 백,nan
9245116693,https://smartstore.naver.com/magussa5/products/9245116693,https://www.gucci.com/uk/en_gb/pr/men/bags-for-men/messenger-crossbody-bags-for-men/jumbo-gg-medium-messenger-bag-p-696009AABY72801,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,점보 GG 미디엄 메신저 백,nan
9245208307,https://smartstore.naver.com/magussa5/products/9245208307,https://www.gucci.com/uk/en_gb/pr/men/bags-for-men/messenger-crossbody-bags-for-men/mini-gg-canvas-mini-shoulder-bag-p-751914FAB7W6041,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,미니 GG 캔버스 미니 숄더백,nan
9245238949,https://smartstore.naver.com/magussa5/products/9245238949,https://www.gucci.com/uk/en_gb/pr/women/handbags/mini-bags-for-women/gg-mini-bucket-bag-with-interlocking-g-p-7463039AADJ9745,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,인터로킹 G 디테일의 GG 미니 버킷백,nan
9245285950,https://smartstore.naver.com/magussa5/products/9245285950,https://www.gucci.com/uk/en_gb/pr/men/bags-for-men/messenger-crossbody-bags-for-men/messenger-bag-with-interlocking-g-p-76002192THG8563,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,인터로킹 G 디테일의 메신저 백,nan
9245856151,https://smartstore.naver.com/magussa5/products/9245856151,https://www.gucci.com/uk/en_gb/pr/women/handbags/shoulder-bags-for-women/chain-bags-for-women/gucci-horsebit-chain-small-shoulder-bag-p-764339FACM28747,https://m.blog.naver.com/PostView.naver?blogId=bestregards9&logNo=221557002810&isFromSearchAddView=true,구찌,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,구찌 홀스빗 체인 스몰 숄더백,nan
9248056641,https://smartstore.naver.com/magussa5/products/9248056641,https://www.thombrowne.com/us/shopping/vacchetta-leather-billfold-19422078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,톰브라운 소가죽 지갑,nan
9248084851,https://smartstore.naver.com/magussa5/products/9248084851,https://www.thombrowne.com/us/shopping/fun-mix-prince-of-wales-check-british-wool-hector-bag-19422080,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,톰브라운 펀믹스 프린스 오브 웨일즈 체크 브리티시 울 헥터 백,nan
9248103376,https://smartstore.naver.com/magussa5/products/9248103376,https://www.thombrowne.com/us/shopping/pebble-grain-leather-whale-baguette-bag-19421551,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,톰브라운 페블 그레인 가죽 고래 바게트 백,nan
9248116619,https://smartstore.naver.com/magussa5/products/9248116619,https://www.thombrowne.com/us/shopping/vacchetta-leather-small-document-holder-19421547,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,톰브라운 소가죽 소형 문서 홀더,nan
9248139283,https://smartstore.naver.com/magussa5/products/9248139283,https://www.thombrowne.com/us/shopping/black-pebbled-calfskin-mini-duet-tote-bag-14831208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,톰브라운 블랙 페블 송아지 가죽 미니 듀엣 토트 백,nan
9248168220,https://smartstore.naver.com/magussa5/products/9248168220,https://www.thombrowne.com/us/shopping/taffeta-metal-handle-mini-school-bag-19240746,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,톰브라운 태피터 메탈 핸들 미니 스쿨 백,nan
9248308212,https://smartstore.naver.com/magussa5/products/9248308212,https://www.thombrowne.com/us/shopping/off-white-double-face-cotton-canvas-medium-tool-tote-bag-15614278,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,톰브라운 오프 화이트 더블 페이스 코튼 캔버스 미디엄 툴 토트백,nan
9248320504,https://smartstore.naver.com/magussa5/products/9248320504,https://www.thombrowne.com/us/shopping/canvas-interlock-medium-tool-tote-18756635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,톰브라운 캔버스 인터록 미디엄 툴 토트,nan
9248353024,https://smartstore.naver.com/magussa5/products/9248353024,https://www.thombrowne.com/us/shopping/pebble-grain-leather-4-bar-mini-trapeze-tote-18589441,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,톰브라운 페블 그레인 가죽 4-바 미니 트라피즈 토트백,nan
9248382842,https://smartstore.naver.com/magussa5/products/9248382842,https://www.thombrowne.com/us/shopping/dark-grey-pebble-grain-leather-mrs-thom-chain-tote-16869719,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,톰브라운 다크 그레이 페블 그레인 가죽 Mrs. Thom 체인 토트,nan
9249161971,https://smartstore.naver.com/magussa5/products/9249161971,https://www.thombrowne.com/us/shopping/light-grey-heavy-linen-leather-handle-small-tool-tote-17121334,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,톰브라운 라이트 그레이 헤비 리넨 가죽 손잡이 소형 도구 토트,nan
9249180067,https://smartstore.naver.com/magussa5/products/9249180067,https://www.thombrowne.com/us/shopping/medium-grey-monogram-coated-canvas-medium-tool-tote-with-webbing-handles-16123204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,톰브라운 웨빙 핸들이 있는 미디엄 그레이 모노그램 코팅 캔버스 미디엄 툴 토트,nan
9249213458,https://smartstore.naver.com/magussa5/products/9249213458,https://www.thombrowne.com/us/shopping/zip-top-deerskin-mrs-thom-jr-bag-13909074,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,톰브라운 지퍼탑 디어스킨 미세스 톰 주니어 백,nan
9250890583,https://smartstore.naver.com/magussa5/products/9250890583,https://www.thombrowne.com/us/shopping/pebble-grain-leather-whale-bag-19422083,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,톰브라운 페블 그레인 가죽 고래 가방,nan
9251570258,https://smartstore.naver.com/magussa5/products/9251570258,https://www.pxg.com/en-us/golf-clubs/irons/0311-p-gen6-irons/IR-PXG37-CHR.html,https://m.blog.naver.com/PostView.naver?blogId=how20909&logNo=223132517602&referrerCode=0&searchKeyword=%EC%A7%81%EA%B5%AC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0311 P GEN6 아이언,nan
9253745771,https://smartstore.naver.com/magussa5/products/9253745771,https://www.theory.com/cropped-blazer-in-double-face-wool-cashmere/N0701103_C05.html,https://m.blog.naver.com/PostView.naver?blogId=cinnamon_roll&logNo=223164153661&isFromSearchAddView=true,Theory,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Theory 더블 페이스 울 캐시미어 크롭 블레이저,nan
